iter	Passed	Remaining
830	14449	2938
831	14467	2921
832	14484	2903
833	14501	2886
834	14520	2869
835	14537	2851
836	14554	2834
837	14572	2817
838	14588	2799
839	14604	2781
840	14619	2763
841	14636	2746
842	14652	2728
843	14668	2711
844	14684	2693
845	14700	2675
846	14715	2658
847	14731	2640
848	14747	2622
849	14765	2605
850	14782	2588
851	14797	2570
852	14813	2552
853	14830	2535
854	14846	2517
855	14864	2500
856	14881	2483
857	14900	2465
858	14924	2449
859	14943	2432
860	14963	2415
861	14980	2398
862	14999	2381
863	15032	2366
864	15050	2348
865	15085	2334
866	15102	2316
867	15119	2299
868	15137	2281
869	15155	2264
870	15173	2247
871	15191	2229
872	15202	2211
873	15219	2194
874	15237	2176
875	15256	2159
876	15273	2142
877	15307	2126
878	15325	2109
879	15352	2093
880	15373	2076
881	15391	2059
882	15409	2041
883	15428	2024
884	15445	2007
885	15462	1989
886	15480	1972
887	15496	1954
888	15513	1937
889	15531	1919
890	15548	1902
891	15564	1884
892	15582	1867
893	15598	1849
894	15614	1831
895	15630	1814
896	15646	1796
897	15662	1779
898	15679	1761
899	15718	1746
900	15736	1729
901	15772	1713
902	15790	1696
903	15809	1678
904	15826	1661
905	15844	1643
906	15862	1626
907	15880	1609
908	15897	1591
909	15914	1573
910	15931	1556
911	15942	1538
912	15960	1520
913	15976	1503
914	15996	1486
915	16015	1468
916	16032	1451
917	16050	1433
918	16068	1416
919	16085	1398
920	16103	1381
921	16122	1363
922	16140	1346
923	16158	1329
924	16175	1311
925	16195	1294
926	16213	1276
927	16240	1260
928	16258	1242
929	16275	1225
930	16292	1207
931	16309	1189
932	16326	1172
933	16349	1155
934	16380	1138
935	16397	1121
936	16416	1103
937	16431	1086
938	16447	1068
939	16463	1050
940	16495	1034
941	16512	1016
942	16529	999
943	16547	981
944	16566	964
945	16583	946
946	16603	929
947	16621	911
948	16638	894
949	16656	876
950	16674	859
951	16692	841
952	16738	825
953	16757	807
954	16774	790
955	16790	772
956	16809	755
957	16827	737
958	16876	721
959	16894	703
960	16912	686
961	16930	668
962	16964	651
963	16982	634
964	17001	616
965	17021	599
966	17038	581
967	17056	563
968	17075	546
969	17095	528
970	17112	511
971	17129	493
972	17146	475
973	17165	458
974	17182	440
975	17200	422
976	17219	405
977	17236	387
978	17251	370
979	17267	352
980	17284	334
981	17300	317
982	17322	299
983	17347	282
984	17363	264
985	17380	246
986	17397	229
987	17415	211
988	17433	193
989	17451	176
990	17469	158
991	17487	141
992	17505	123
993	17523	105
994	17541	88
995	17559	70
996	17576	52
997	17593	35
998	17609	17
999	17627	0
